hours,stress,subject,study,preparation
3.8,7,science,flashcards,4.3
3.3,8,math,read,1.3
3.6,10,math,exercise,3.8
13.4,5,science,read,5.4
9.2,7,art,repeat,6.1
19.8,1,history,repeat,8.6
4.5,6,art,repeat,4.4
6.2,7,art,flashcards,6.1
19.7,4,art,flashcards,10.0
16.6,3,science,repeat,7.3
9.4,7,art,read,5.3
11.1,5,computer_science,repeat,6.8
16.9,3,physics,flashcards,7.4
9.6,5,italian,flashcards,7.6
4.1,9,math,exercise,2.4
16.6,5,math,flashcards,9.0
10.8,8,italian,repeat,6.6
3.1,8,science,flashcards,4.4
10.1,8,philosophy,read,4.9
8.3,6,science,flashcards,6.3
17.5,3,math,flashcards,7.9
2.5,7,math,read,1.8
17.5,3,italian,repeat,8.1
10.2,5,art,flashcards,8.1
8.1,5,science,flashcards,5.3
3.2,6,english,flashcards,5.3
14.0,5,italian,flashcards,8.7
18.5,3,computer_science,read,7.8
7.5,4,math,exercise,4.2
4.8,4,italian,read,3.1
11.1,2,science,repeat,5.2
15.9,2,math,exercise,6.3
0.1,6,philosophy,repeat,1.5
12.6,3,italian,flashcards,7.8
11.9,5,history,repeat,7.5
6.4,4,math,read,1.6
9.0,4,science,read,3.3
4.9,4,physics,read,1.4
15.8,3,english,read,6.9
12.7,6,art,repeat,7.6
10.7,5,science,repeat,5.9
7.9,6,computer_science,flashcards,6.8
5.8,7,computer_science,flashcards,6.3
16.5,2,physics,exercise,7.6
9.0,5,art,read,4.8
10.0,6,history,flashcards,7.7
10.4,7,physics,flashcards,6.2
9.0,6,physics,flashcards,5.7
5.1,8,math,exercise,3.6
2.4,6,computer_science,flashcards,5.3
2.0,5,math,exercise,1.8
15.1,2,english,repeat,7.5
4.5,8,art,repeat,4.2
1.1,6,history,flashcards,3.5
16.0,6,history,read,7.4
3.1,7,science,flashcards,5.3
12.5,7,physics,exercise,7.6
6.8,6,english,repeat,5.7
2.5,7,computer_science,flashcards,4.3
8.3,6,history,read,5.1
0.3,7,english,flashcards,4.6
16.8,4,philosophy,flashcards,10.0
10.3,4,philosophy,flashcards,7.1
2.8,8,math,exercise,2.5
4.7,6,computer_science,flashcards,5.5
9.0,5,science,flashcards,6.6
3.8,5,history,flashcards,5.0
5.4,8,physics,read,2.2
10.7,5,physics,exercise,5.1
16.7,5,history,flashcards,10.0
8.0,5,art,repeat,5.1
14.3,4,science,repeat,6.9
17.5,5,english,repeat,9.5
4.3,5,art,flashcards,4.2
16.1,3,art,repeat,9.1
15.1,5,math,read,4.5
7.1,8,philosophy,read,3.5
19.8,3,art,repeat,9.0
5.3,5,art,repeat,3.9
5.1,6,italian,read,3.2
15.4,7,math,exercise,7.0
8.7,4,computer_science,flashcards,7.9
6.6,7,italian,repeat,5.4
3.6,7,italian,repeat,3.6
15.3,2,history,repeat,7.1
15.7,4,philosophy,repeat,7.2
11.3,2,art,repeat,5.6
19.1,4,philosophy,repeat,8.1
6.4,7,science,repeat,4.5
4.4,5,history,repeat,3.7
13.5,5,computer_science,flashcards,9.4
15.2,3,philosophy,repeat,7.2
4.5,6,physics,exercise,3.8
1.5,6,science,flashcards,3.7
16.2,5,math,exercise,7.5
19.5,1,computer_science,read,9.3
12.9,2,science,flashcards,6.8
5.6,6,history,flashcards,6.0
19.9,2,italian,read,8.5
17.9,4,italian,repeat,9.2
10.3,5,history,read,4.8
16.5,4,english,flashcards,10.0
16.3,1,italian,flashcards,9.2
18.7,3,math,exercise,9.1
16.8,1,math,exercise,7.2
12.9,5,physics,flashcards,7.7
12.2,6,art,repeat,6.9
9.3,5,english,flashcards,7.5
12.5,5,computer_science,flashcards,8.6
15.9,3,italian,repeat,8.2
19.4,5,math,read,7.7
9.3,6,history,repeat,5.3
11.5,4,italian,repeat,7.5
8.9,8,art,flashcards,8.1
13.4,6,history,read,7.0
12.6,4,science,repeat,6.4
0.4,9,science,flashcards,2.9
10.8,6,italian,repeat,6.5
1.8,7,art,flashcards,4.9
0.5,8,english,read,1.9
15.8,4,italian,repeat,8.2
5.2,6,math,exercise,3.0
6.8,8,philosophy,repeat,5.3
1.3,5,italian,flashcards,3.9
3.6,8,italian,repeat,3.8
15.3,2,history,repeat,7.1
9.9,5,philosophy,repeat,5.2
17.6,1,math,read,5.0
7.9,4,italian,repeat,5.3
5.4,7,history,repeat,4.3
7.0,6,art,flashcards,6.6
14.3,6,italian,read,7.5
11.1,5,philosophy,flashcards,7.5
18.1,4,physics,read,6.3
12.0,5,philosophy,repeat,6.3
9.9,6,science,flashcards,6.9
15.7,2,math,read,4.9
19.0,3,computer_science,flashcards,10.0
7.1,7,italian,read,4.4
5.0,6,philosophy,flashcards,5.0
12.3,5,computer_science,read,6.1
10.0,6,history,read,5.8
19.8,2,physics,read,6.3
9.2,7,math,read,3.8
1.5,4,philosophy,repeat,2.1
19.5,1,computer_science,repeat,8.6
16.9,2,physics,flashcards,7.4
3.6,8,science,flashcards,4.4
18.1,2,math,exercise,7.9
6.8,4,math,exercise,3.0
7.5,6,science,flashcards,5.4
18.1,4,italian,repeat,9.2
10.6,4,science,read,3.6
2.8,6,math,flashcards,3.8
7.4,6,math,flashcards,6.6
14.4,6,computer_science,repeat,7.8
3.5,5,physics,read,1.7
11.8,7,science,repeat,6.3
13.9,4,physics,exercise,6.0
6.9,5,science,repeat,4.7
13.9,5,history,read,6.7
17.7,4,math,flashcards,9.3
9.4,2,computer_science,repeat,6.9
7.7,6,physics,read,2.8
5.0,8,science,flashcards,5.4
12.1,7,english,repeat,7.2
17.6,3,history,repeat,8.3
6.5,6,philosophy,repeat,4.4
7.9,7,italian,repeat,5.7
8.1,9,physics,exercise,4.0
11.2,5,computer_science,flashcards,9.1
4.6,7,philosophy,repeat,4.1
16.4,6,english,flashcards,10.0
5.9,5,italian,repeat,5.5
14.1,5,english,flashcards,10.0
10.3,9,philosophy,repeat,6.3
11.7,6,italian,repeat,6.6
3.6,8,english,flashcards,6.3
14.7,4,computer_science,flashcards,10.0
3.8,8,science,repeat,3.0
2.3,9,math,read,1.6
10.9,3,science,read,5.0
14.2,4,philosophy,repeat,7.5
1.0,8,physics,exercise,1.0
1.4,8,math,read,1.0
16.1,3,history,read,8.0
16.2,6,computer_science,flashcards,10.0
4.9,7,history,repeat,4.6
12.3,4,italian,read,6.1
8.9,7,math,exercise,5.7
12.7,7,history,repeat,7.0
17.3,5,history,repeat,8.5
1.6,7,english,repeat,2.9
15.6,4,science,repeat,5.9
9.9,4,english,flashcards,8.1
11.3,6,math,exercise,5.3
13.1,6,math,exercise,6.9
18.5,4,philosophy,flashcards,9.7
1.1,10,english,read,2.0
0.6,5,art,repeat,2.6
3.6,7,science,repeat,3.1
19.7,4,math,exercise,8.3
14.3,4,philosophy,read,6.0
12.3,3,english,read,6.4
0.9,6,science,repeat,2.3
17.6,4,english,read,8.4
16.3,2,history,repeat,8.1
13.3,7,philosophy,repeat,6.9
6.8,7,science,repeat,4.1
1.4,7,italian,read,1.0
11.6,5,italian,flashcards,7.7
14.4,6,science,flashcards,7.9
1.9,10,english,flashcards,5.0
12.7,3,philosophy,flashcards,7.6
5.7,5,italian,repeat,4.3
15.3,4,philosophy,repeat,6.8
10.8,4,italian,repeat,6.9
2.6,5,history,repeat,3.4
10.5,4,english,repeat,6.7
7.9,5,history,read,4.6
3.6,5,italian,flashcards,4.2
16.8,4,history,flashcards,9.0
0.2,8,italian,read,1.9
6.2,7,science,repeat,5.1
0.3,6,history,repeat,2.1
1.9,8,physics,flashcards,4.4
5.9,7,english,repeat,5.3
1.1,7,math,exercise,1.3
11.9,7,art,flashcards,9.1
1.7,8,history,repeat,2.1
14.0,4,computer_science,repeat,7.4
1.1,8,english,repeat,2.9
1.2,6,physics,repeat,1.0
6.1,6,physics,read,2.0
17.9,7,italian,repeat,9.4
12.8,2,italian,read,6.3
15.4,3,art,repeat,8.3
2.8,7,science,flashcards,3.2
16.7,3,computer_science,read,8.6
0.2,7,math,exercise,1.8
4.3,9,art,read,3.5
12.3,4,philosophy,repeat,7.0
7.5,7,math,exercise,4.0
19.7,2,history,read,8.5
0.6,8,english,repeat,2.1
20.0,4,philosophy,flashcards,10.0
12.5,5,philosophy,repeat,7.2
11.2,4,art,repeat,6.2
1.2,8,science,flashcards,3.2
5.5,7,art,repeat,4.4
18.5,5,history,read,8.1
7.1,7,science,repeat,3.8
13.2,5,history,flashcards,9.6
20.0,5,science,flashcards,9.6
5.3,6,physics,exercise,3.6
11.5,5,philosophy,flashcards,8.1
13.9,7,computer_science,flashcards,9.3
3.3,7,english,read,2.5
3.0,8,history,repeat,3.5
9.1,4,math,exercise,4.4
7.7,8,science,repeat,5.2
14.3,3,english,repeat,7.8
1.4,6,math,read,1.0
19.4,4,english,repeat,9.1
0.3,7,computer_science,repeat,2.4
12.0,5,math,exercise,6.6
11.3,6,art,read,6.3
2.7,7,italian,flashcards,4.7
3.0,6,art,read,2.8
15.9,3,italian,repeat,7.8
17.8,2,art,repeat,8.7
5.7,8,italian,repeat,4.8
8.8,8,italian,repeat,5.7
7.1,5,philosophy,flashcards,5.5
1.5,8,science,repeat,2.3
13.5,4,science,repeat,4.9
16.5,6,philosophy,repeat,8.7
6.1,10,english,flashcards,7.3
19.8,4,physics,exercise,8.1
1.5,7,english,flashcards,5.4
13.2,3,math,exercise,4.6
9.0,6,math,flashcards,6.1
8.9,6,italian,read,5.7
9.2,4,art,flashcards,6.4
5.2,7,art,repeat,4.3
14.3,8,science,repeat,7.4
14.4,6,history,repeat,7.1
5.6,5,english,flashcards,6.5
16.7,4,computer_science,read,9.0
6.3,7,art,flashcards,6.7
14.5,5,computer_science,flashcards,9.7
2.4,5,italian,read,1.4
3.4,7,computer_science,flashcards,6.2
6.3,7,philosophy,read,2.1
11.9,5,computer_science,flashcards,8.6
12.9,2,physics,repeat,5.6
7.9,6,italian,flashcards,5.7
1.6,9,english,repeat,2.8
7.5,5,philosophy,flashcards,5.4
13.8,4,art,read,7.0
13.4,7,math,exercise,6.4
3.2,7,english,repeat,4.6
0.2,8,math,exercise,1.7
15.1,1,italian,flashcards,8.0
2.1,6,philosophy,read,1.3
1.6,10,science,flashcards,3.8
0.1,10,art,repeat,2.8
8.7,7,physics,read,3.6
10.1,2,science,flashcards,6.1
12.8,3,italian,flashcards,8.9
5.9,4,english,read,4.4
14.2,2,physics,flashcards,6.4
3.4,7,computer_science,repeat,3.8
16.6,5,physics,exercise,7.5
11.4,4,italian,repeat,6.5
11.7,5,history,repeat,7.0
4.2,6,computer_science,repeat,4.4
1.5,9,math,exercise,2.5
9.3,7,art,repeat,6.5
12.3,5,math,exercise,5.8
1.9,9,physics,flashcards,3.2
19.0,3,math,flashcards,9.7
19.6,6,italian,flashcards,10.0
10.9,4,english,repeat,7.1
19.0,1,art,repeat,8.3
3.6,5,math,exercise,2.7
0.5,6,math,read,1.0
0.8,7,physics,exercise,1.8
11.8,7,english,repeat,8.4
1.2,7,science,repeat,1.2
19.2,1,math,exercise,7.8
2.8,5,italian,read,2.5
6.1,6,history,flashcards,6.6
16.5,6,art,flashcards,10.0
4.4,7,math,exercise,3.4
4.9,8,italian,repeat,4.6
12.8,5,italian,repeat,7.5
5.5,4,art,flashcards,5.6
4.3,8,science,flashcards,4.8
5.1,5,italian,flashcards,5.8
9.8,5,history,read,4.8
19.3,2,italian,flashcards,10.0
16.6,4,italian,flashcards,9.2
5.7,6,italian,flashcards,6.0
7.3,6,science,repeat,3.9
9.3,5,math,flashcards,5.7
19.6,4,italian,flashcards,10.0
3.4,7,english,repeat,4.1
7.1,6,math,exercise,4.8
14.6,7,science,repeat,7.3
19.3,5,philosophy,flashcards,10.0
3.1,6,math,repeat,1.5
4.5,7,math,exercise,3.2
4.5,7,computer_science,flashcards,5.9
0.4,8,physics,exercise,2.0
12.1,5,computer_science,flashcards,9.7
13.4,5,history,read,6.9
12.1,5,physics,exercise,5.5
1.4,7,art,read,1.9
1.4,7,art,repeat,2.7
4.2,4,science,repeat,2.3
5.8,8,physics,flashcards,4.9
15.7,5,math,exercise,7.1
3.2,10,art,repeat,5.1
0.9,6,italian,repeat,2.6
7.9,5,english,read,5.2
8.3,8,math,exercise,5.5
9.0,6,history,repeat,6.3
16.5,6,italian,repeat,9.3
2.0,10,italian,read,2.4
14.1,1,physics,flashcards,7.4
6.8,7,science,read,4.2
6.2,7,history,repeat,4.6
18.7,3,art,flashcards,10.0
5.0,6,physics,exercise,3.1
12.9,7,art,flashcards,10.0
5.5,7,physics,flashcards,4.1
10.1,1,physics,exercise,4.5
15.7,3,physics,flashcards,8.1
17.6,7,science,repeat,7.9
16.8,2,physics,exercise,6.6
11.6,7,philosophy,flashcards,7.6
5.0,8,english,flashcards,6.5
13.2,4,art,flashcards,8.4
14.2,5,math,flashcards,8.4
0.2,8,computer_science,repeat,2.4
8.8,5,history,flashcards,6.9
16.9,3,science,repeat,7.5
9.8,8,math,flashcards,6.7
6.2,6,italian,flashcards,4.7
17.4,2,philosophy,flashcards,8.8
3.1,8,computer_science,read,2.9
4.1,8,math,exercise,2.7
13.7,2,math,flashcards,7.4
7.0,5,philosophy,repeat,3.7
14.3,2,computer_science,flashcards,9.5
3.2,10,italian,repeat,3.1
5.0,6,physics,exercise,3.3
3.1,6,art,read,3.3
19.1,2,italian,repeat,8.6
8.1,5,physics,exercise,4.4
6.7,6,science,flashcards,6.0
0.3,10,english,flashcards,5.2
3.1,7,history,repeat,3.8
8.4,4,history,read,4.2
1.4,6,art,read,1.6
10.2,6,computer_science,repeat,6.0
9.1,4,philosophy,repeat,4.6
15.3,4,computer_science,repeat,8.2
13.2,9,philosophy,repeat,7.6
8.9,4,computer_science,repeat,7.1
4.5,5,english,flashcards,6.3
14.5,3,science,flashcards,7.7
14.2,2,science,repeat,6.4
3.1,9,physics,read,1.0
18.3,2,science,read,6.6
1.3,6,science,repeat,2.0
1.1,6,italian,repeat,2.9
3.7,5,italian,repeat,3.5
18.2,3,physics,exercise,8.0
10.4,4,art,repeat,6.0
15.8,1,italian,flashcards,9.2
4.6,6,art,read,2.7
9.8,6,math,read,3.1
7.2,6,italian,flashcards,7.3
16.6,5,english,read,7.9
0.5,10,physics,exercise,2.1
4.9,8,math,exercise,3.2
3.1,8,english,read,2.7
17.2,5,english,read,7.9
9.4,9,english,repeat,7.3
8.1,4,art,read,3.2
9.0,7,computer_science,read,5.5
19.4,2,math,flashcards,9.3
17.0,4,philosophy,repeat,7.5
14.1,2,math,read,4.7
5.8,8,computer_science,read,4.3
3.3,8,math,flashcards,3.5
18.4,6,science,flashcards,9.7
8.5,5,philosophy,read,4.0
5.6,6,computer_science,repeat,4.4
9.4,5,art,repeat,5.7
18.4,7,history,flashcards,10.0
7.7,7,computer_science,flashcards,7.5
11.3,7,physics,exercise,6.9
16.1,5,computer_science,flashcards,9.6
8.5,7,science,repeat,5.5
4.7,5,history,repeat,3.6
19.9,2,science,flashcards,9.6
19.1,2,history,flashcards,10.0
16.9,4,physics,exercise,7.7
13.8,4,art,flashcards,7.7
5.9,4,science,repeat,3.9
18.3,3,science,repeat,7.9
5.5,4,english,repeat,4.4
16.0,5,history,flashcards,9.7
18.4,4,italian,flashcards,10.0
12.1,7,history,repeat,7.5
16.1,4,english,flashcards,10.0
15.8,3,math,exercise,6.5
3.9,5,history,read,2.7
13.4,4,art,repeat,6.8
1.9,6,english,repeat,3.8
10.2,6,math,exercise,5.2
3.2,7,philosophy,repeat,3.4
8.3,7,english,repeat,6.0
16.7,6,philosophy,repeat,8.2
19.7,1,science,flashcards,9.3
6.4,6,english,flashcards,6.3
10.6,5,physics,read,4.4
10.2,6,philosophy,flashcards,7.7
19.1,4,art,read,7.6
9.6,8,physics,flashcards,6.0
14.0,3,computer_science,repeat,7.2
18.4,1,computer_science,flashcards,10.0
7.5,6,math,flashcards,5.7
18.0,4,science,read,6.9
18.3,5,english,flashcards,10.0
18.6,2,italian,flashcards,10.0
5.4,4,art,flashcards,5.7
8.0,8,philosophy,repeat,5.2
17.4,4,physics,read,6.8
7.2,6,computer_science,flashcards,6.9
12.0,2,art,repeat,6.9
2.4,6,italian,flashcards,4.5
1.1,9,english,repeat,3.1
8.2,7,math,flashcards,5.1
11.6,3,italian,repeat,6.3
7.9,7,art,flashcards,7.2
11.6,5,italian,flashcards,7.7
10.3,7,art,flashcards,7.6
13.7,4,art,repeat,7.9
13.0,4,history,repeat,7.4
8.5,6,philosophy,read,5.1
8.5,5,computer_science,flashcards,6.5
2.8,6,history,repeat,4.2
10.3,8,english,repeat,6.8
11.7,7,history,flashcards,7.9
9.5,4,science,repeat,4.9
6.5,7,science,flashcards,4.6
14.4,2,computer_science,repeat,8.1
1.5,10,italian,flashcards,5.0
18.3,5,philosophy,read,7.2
0.4,9,computer_science,repeat,3.4
19.2,3,art,repeat,9.0
9.2,7,physics,flashcards,6.2
8.3,8,philosophy,repeat,5.8
5.1,6,philosophy,repeat,3.5
0.2,6,art,flashcards,3.0
5.5,7,art,read,3.6
2.2,7,math,flashcards,2.5
13.2,7,computer_science,flashcards,9.2
6.4,6,art,read,3.4
15.3,4,science,flashcards,8.2
4.1,8,english,repeat,4.3
18.0,4,physics,exercise,7.6
10.5,6,computer_science,repeat,7.3
2.3,7,science,flashcards,3.4
8.0,4,italian,repeat,5.4
4.1,6,art,repeat,3.0
4.0,6,art,flashcards,5.2
10.1,6,philosophy,read,4.4
13.4,5,science,flashcards,7.9
18.2,4,philosophy,repeat,8.1
10.0,6,math,exercise,5.7
19.3,2,philosophy,flashcards,9.8
18.8,4,math,exercise,8.7
17.3,1,math,flashcards,7.0
10.0,4,art,flashcards,7.5
2.8,7,italian,repeat,3.6
4.4,8,philosophy,repeat,3.4
13.0,6,science,repeat,6.4
8.4,6,math,read,3.4
2.9,8,art,read,3.3
9.6,4,physics,exercise,4.6
0.3,7,computer_science,repeat,2.3
14.7,4,italian,repeat,7.4
1.5,6,history,read,1.7
12.6,4,physics,read,3.9
15.9,4,computer_science,repeat,8.8
2.7,7,physics,exercise,1.6
10.4,5,philosophy,read,4.7
15.6,1,math,read,4.3
5.2,7,italian,repeat,4.5
3.3,7,english,read,3.6
6.7,6,math,exercise,4.1
11.1,3,english,flashcards,7.9
11.5,7,computer_science,read,6.7
2.6,10,art,read,1.5
9.2,3,history,repeat,5.4
5.4,6,science,repeat,3.0
16.8,5,math,read,6.3
6.3,6,italian,flashcards,5.1
16.8,3,physics,exercise,7.0
8.6,5,italian,repeat,5.2
14.5,5,computer_science,read,7.5
10.2,9,english,repeat,7.0
12.4,6,physics,flashcards,7.1
7.9,4,science,repeat,4.2
15.4,3,science,read,5.7
8.5,5,math,exercise,4.5
9.1,4,computer_science,flashcards,7.4
10.4,4,art,flashcards,7.6
16.6,5,computer_science,repeat,10.0
13.2,4,english,read,5.7
7.0,7,italian,flashcards,6.4
13.4,7,science,repeat,6.7
12.8,4,italian,repeat,7.5
18.6,4,italian,flashcards,10.0
16.8,2,italian,read,7.6
12.9,5,science,repeat,6.2
6.8,8,philosophy,flashcards,7.0
15.6,6,english,read,7.5
11.5,5,english,flashcards,9.1
19.7,2,physics,flashcards,9.2
5.0,7,computer_science,flashcards,6.4
1.6,8,computer_science,repeat,2.7
1.4,8,history,flashcards,3.6
12.8,4,computer_science,repeat,7.1
18.8,3,science,repeat,7.9
